the - 6596;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
so - 574;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
then - 558;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
one - 525;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
this - 507;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
will - 501;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
or - 480;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
me - 472;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
my - 445;                                                                                                                                                                                                                                                                                                                                                                                                                                                            
an - 439;                                                                                                                                                                                                                                                                                                                                                                                                                                                      
can - 433;                                                                                                                                                                                                                                                                                                                                                                                                                                                
know - 433;                                                                                                                                                                                                                                                                                                                                                                                                                                                
from - 427;                                                                                                                                                                                                                                                                                                                                                                                                                                          
your - 381;                                                                                                                                                                                                                                                                                                                                                                                            
earth - 372;                                                                                                                                                                                                                                                                                                                                                                                   
about - 371;                                                                                                                                                                                                                                                                                                                                                                                  
out - 369;                                                                                                                                                                                                                                                                                                                                                                                
don't - 369;                                                                                                                                                                                                                                                                                                                                                                                
them - 364;                                                                                                                                                                                                                                                                                                                                                                           
world - 358;                                                                                                                                                                                                                                                                                                                                                                     
its - 356;                                                                                                                                                                                                                                                                                                                                                                   
more - 344;                                                                                                                                                                                                                                                                                                                                                       
gaia - 341;                                                                                                                                                                                                                                                                                                                                                    
even - 335;                                                                                                                                                                                                                                                                                                                                              
been - 334;                                                                                                                                                                                                                                                                                                                                             
might - 326;                                                                                                                                                                                                                                                                                                                                     
could - 315;                                                                                                                                                                                                                                                                                                                          
by - 312;                                                                                                                                                                                                                                                                                                                       
when - 306;                                                                                                                                                                                                                                                                                                                 
now - 305;                                                                                                                                                                                                                                                                                                                
any - 301;                                                                                                                                                                                                                                                                                                            
did - 287;                                                                                                                                                                                                                                                                                              
how - 285;                                                                                                                                                                                                                                                                                            
must - 285;                                                                                                                                                                                                                                                                                            
which - 279;                                                                                                                                                                                                                                                                                      
well - 278;                                                                                                                                                                                                                                                                                     
than - 277;                                                                                                                                                                                                                                                                                    
it's - 273;                                                                                                                                                                                                                                                                                
only - 267;                                                                                                                                                                                                                                                                          
us - 266;                                                                                                                                                                                                                                                                         
time - 259;                                                                                                                                                                                                                                                                  
may - 250;                                                                                                                                                                                                                                                         
ship - 249;                                                                                                                                                                                                                                                        
other - 248;                                                                                                                                                                                                                                                       
see - 246;                                                                                                                                                                                                                                                     
human - 241;                                                                                                                                                                                                                                                
into - 237;                                                                                                                                                                                                                                            
think - 234;                                                                                                                                                                                                                                         
him - 231;                                                                                                                                                                                                                                      
fallom - 230;                                                                                                                                                                                                                                     
who - 227;                                                                                                                                                                                                                                  
just - 223;                                                                                                                                                                                                                              
too - 221;                                                                                                                                                                                                                            
has - 220;                                                                                                                                                                                                                           
i'm - 220;                                                                                                                                                                                                                           
planet - 219;                                                                                                                                                                                                                          
up - 219;                                                                                                                                                                                                                          
very - 205;                                                                                                                                                                                                            
some - 200;                                                                                                                                                                                                       
our - 200;                                                                                                                                                                                                       
looked - 196;                                                                                                                                                                                                   
why - 196;                                                                                                                                                                                                   
though - 194;                                                                                                                                                                                                 
am - 194;                                                                                                                                                                                                 
make - 188;                                                                                                                                                                                           
way - 186;                                                                                                                                                                                         
their - 185;                                                                                                                                                                                        
yes - 181;                                                                                                                                                                                    
right - 180;                                                                                                                                                                                   
two - 174;                                                                                                                                                                             
nothing - 169;                                                                                                                                                                        
janov - 168;                                                                                                                                                                       
come - 167;                                                                                                                                                                      
never - 166;                                                                                                                                                                     
want - 164;                                                                                                                                                                   
computer - 163;                                                                                                                                                                  
something - 163;                                                                                                                                                                  
say - 160;                                                                                                                                                               
here - 159;                                                                                                                                                              
find - 159;                                                                                                                                                              
still - 157;                                                                                                                                                            
worlds - 156;                                                                                                                                                           
like - 155;                                                                                                                                                          
those - 155;                                                                                                                                                          
that's - 155;                                                                                                                                                          
bander - 154;                                                                                                                                                         
thought - 151;                                                                                                                                                      
enough - 151;                                                                                                                                                      
own - 151;                                                                                                                                                      
long - 151;                                                                                                                                                      
back - 149;                                                                                                                                                    
golan - 146;                                                                                                                                                 
old - 145;                                                                                                                                                
star - 145;                                                                                                                                                
take - 144;                                                                                                                                               
tell - 142;                                                                                                                                             
without - 141;                                                                                                                                            
where - 141;                                                                                                                                            
being - 141;                                                                                                                                            
far - 140;                                                                                                                                           
first - 140;                                                                                                                                           
because - 140;                                                                                                                                           
once - 139;                                                                                                                                          
foundation - 138;                                                                                                                                         
matter - 138;                                                                                                                                         
robots - 138;                                                                                                                                         
mind - 138;                                                                                                                                         
perhaps - 137;                                                                                                                                        
after - 136;                                                                                                                                       
robot - 136;                                                                                                                                       
go - 134;                                                                                                                                     
life - 134;                                                                                                                                     
galaxy - 132;                                                                                                                                   
much - 131;                                                                                                                                  
however - 130;                                                                                                                                 
little - 130;                                                                                                                                 
through - 130;                                                                                                                                 
such - 129;                                                                                                                                
made - 129;                                                                                                                                
before - 127;                                                                                                                              
can't - 125;                                                                                                                            
does - 124;                                                                                                                           
again - 122;                                                                                                                         
seemed - 121;                                                                                                                        
get - 121;                                                                                                                        
quite - 120;                                                                                                                       
over - 120;                                                                                                                       
anything - 117;                                                                                                                    
sure - 115;                                                                                                                  
three - 115;                                                                                                                  
use - 114;                                                                                                                 
space - 113;                                                                                                                
moment - 112;                                                                                                               
off - 112;                                                                                                               
down - 111;                                                                                                              
rather - 110;                                                                                                             
course - 110;                                                                                                             
part - 109;                                                                                                            
suppose - 108;                                                                                                           
comporellon - 107;                                                                                                          
sun - 107;                                                                                                          
since - 107;                                                                                                          
child - 107;                                                                                                          
each - 106;                                                                                                         
look - 105;                                                                                                        
hand - 104;                                                                                                       
let - 103;                                                                                                      
years - 103;                                                                                                      
left - 103;                                                                                                      
should - 103;                                                                                                      
beings - 102;                                                                                                     
yet - 102;                                                                                                     
good - 102;                                                                                                     
small - 100;                                                                                                   
didn't - 100;                                                                                                   
galactic - 97;                                                                                                
voice - 96;                                                                                               
hiroko - 96;                                                                                               
almost - 95;                                                                                              
head - 94;                                                                                             
away - 93;                                                                                            
large - 93;                                                                                            
another - 92;                                                                                           
eyes - 91;                                                                                          
came - 90;                                                                                         
many - 90;                                                                                         
while - 88;                                                                                       
case - 87;                                                                                      
mean - 87;                                                                                      
light - 86;                                                                                     
doesn't - 86;                                                                                     
itself - 86;                                                                                     
found - 85;                                                                                    
understand - 85;                                                                                    
woman - 85;                                                                                    
turned - 85;                                                                                    
face - 85;                                                                                    
fact - 84;                                                                                   
there's - 83;                                                                                  
asked - 83;                                                                                  
every - 82;                                                                                 
always - 82;                                                                                 
people - 81;                                                                                
under - 81;                                                                                
hands - 81;                                                                                
need - 79;                                                                              
pel - 79;                                                                              
second - 79;                                                                              
thousand - 78;                                                                             
going - 78;                                                                             
minister - 77;                                                                            
point - 77;                                                                            
feel - 77;                                                                            
surely - 76;                                                                           
i'll - 76;                                                                           
new - 75;                                                                          
wish - 75;                                                                          
word - 75;                                                                          
believe - 75;                                                                          
room - 75;                                                                          
seems - 75;                                                                          
these - 75;                                                                          
thing - 73;                                                                        
least - 73;                                                                        
surface - 73;                                                                        
felt - 72;                                                                       
things - 71;                                                                      
give - 71;                                                                      
solaria - 70;                                                                     
we're - 70;                                                                     
slowly - 70;                                                                     
keep - 70;                                                                     
terminus - 70;                                                                     
place - 70;                                                                     
you're - 69;                                                                    
reason - 69;                                                                    
isn't - 69;                                                                    
speak - 68;                                                                   
few - 68;                                                                   
told - 68;                                                                   
looking - 68;                                                                   
toward - 67;                                                                  
sir - 67;                                                                  
against - 66;                                                                 
i've - 66;                                                                 
stars - 66;                                                                 
seem - 66;                                                                 
either - 66;                                                                 
knew - 66;                                                                 
better - 65;                                                                
information - 65;                                                                
leave - 65;                                                                
certainly - 65;                                                                
took - 65;                                                                
ever - 64;                                                               
himself - 64;                                                               
councilman - 64;                                                               
side - 63;                                                              
planetary - 62;                                                             
put - 62;                                                             
held - 62;                                                             
decision - 62;                                                             
possible - 62;                                                             
sense - 61;                                                            
different - 61;                                                            
done - 61;                                                            
great - 60;                                                           
seen - 60;                                                           
really - 60;                                                           
most - 59;                                                          
habitable - 59;                                                          
nor - 59;                                                          
earth's - 58;                                                         
used - 58;                                                         
last - 58;                                                         
power - 58;                                                         
upon - 58;                                                         
taken - 58;                                                         
dear - 57;                                                        
bliss's - 57;                                                        
cannot - 57;                                                        
ask - 57;                                                        
else - 57;                                                        
air - 56;                                                       
wouldn't - 56;                                                       
trevize's - 56;                                                       
whole - 55;                                                      
same - 55;                                                      
heard - 55;                                                      
others - 55;                                                      
shook - 55;                                                      
close - 54;                                                     
try - 54;                                                     
land - 54;                                                     
planets - 54;                                                     
distance - 54;                                                     
both - 54;                                                     
work - 54;                                                     
quickly - 54;                                                     
myself - 54;                                                     
whatever - 53;                                                    
water - 52;                                                   
young - 52;                                                   
won't - 52;                                                   
longer - 52;                                                   
trying - 51;                                                  
brain - 51;                                                  
galaxia - 51;                                                  
we'll - 51;                                                  
door - 51;                                                  
also - 51;                                                  
clearly - 50;                                                 
empire - 50;                                                 
name - 50;                                                 
solarian - 50;                                                 
co*ordinates - 50;                                                 
